Date,Price,Open,High,Low,Vol.,Change %
7/8/2009,46.5,48.0,48.0,46.5,9.90K,-0.53%
7/9/2009,46.0,47.0,47.0,45.75,17.40K,-1.08%
7/13/2009,45.75,46.0,47.0,45.75,22.10K,-0.54%
7/14/2009,45.75,45.5,46.0,45.0,20.60K,0.00%
7/15/2009,45.5,45.5,46.0,45.25,23.60K,-0.55%
7/16/2009,45.0,45.25,45.5,44.75,42.20K,-1.10%
7/17/2009,45.5,45.0,46.0,45.0,71.70K,1.11%
7/20/2009,46.5,46.0,47.0,46.0,68.80K,2.20%
7/21/2009,47.5,47.25,48.5,47.0,88.50K,2.15%
7/22/2009,47.69,47.5,48.5,47.25,42.70K,0.40%
7/23/2009,47.25,47.75,47.75,47.0,20.70K,-0.92%
7/24/2009,47.0,47.0,47.5,47.0,14.00K,-0.53%
7/27/2009,47.5,47.25,48.0,47.25,135.40K,1.06%
7/28/2009,47.5,48.0,48.0,47.25,92.00K,0.00%
7/29/2009,47.5,47.75,48.5,47.5,119.30K,0.00%
7/30/2009,47.75,47.75,48.0,47.5,32.80K,0.53%
7/31/2009,47.5,46.0,47.75,46.0,26.50K,-0.52%
8/3/2009,47.25,47.5,47.5,47.25,2.40K,-0.53%
8/4/2009,46.0,46.75,46.75,46.0,9.40K,-2.65%
8/6/2009,45.5,46.0,46.0,45.5,137.10K,-1.09%
8/7/2009,45.75,45.5,45.75,45.5,13.60K,0.55%
8/10/2009,45.0,45.0,45.25,45.0,28.80K,-1.64%
8/11/2009,43.25,44.75,44.75,43.0,37.00K,-3.89%
8/12/2009,41.75,42.75,43.0,40.25,386.40K,-3.47%
8/13/2009,42.0,41.5,42.5,41.5,47.00K,0.60%
8/14/2009,42.0,42.0,42.0,41.75,3.10K,0.00%
8/17/2009,42.0,42.0,43.0,41.75,25.40K,0.00%
8/18/2009,43.0,41.75,44.75,41.75,170.90K,2.38%
8/19/2009,42.5,43.0,44.0,42.5,70.50K,-1.16%
8/20/2009,42.75,43.0,43.5,42.25,9.50K,0.59%
8/21/2009,42.25,43.0,43.0,42.0,10.90K,-1.17%
8/24/2009,42.25,42.0,42.5,42.0,3.70K,0.00%
8/25/2009,41.75,42.0,42.25,41.5,221.90K,-1.18%
8/26/2009,41.75,42.0,42.0,41.75,8.30K,0.00%
8/27/2009,42.5,41.75,43.0,41.75,77.00K,1.80%
8/28/2009,42.25,42.0,42.75,42.0,55.10K,-0.59%
8/31/2009,41.75,42.0,42.5,41.75,17.90K,-1.18%
9/1/2009,41.0,42.0,42.0,40.0,101.90K,-1.80%
